AttackCount,Organisation
6,Tamil Nadu Liberation Army
6,Base Movement
6,Black Order
6,Workers Brigade for Communism
6,Tribal Battlefront
6,February 17 Martyrs Brigade
6,All Nepal National Free Student Union-Revolutionary
6,Nepal Defense Army
6,Commando Adolph Hitler
6,Youth Action Group
6,International Revolutionary Solidarity
6,Basque Rectitudes
6,Breton Separatists
6,Revolutionary Front for National Liberation
6,Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)
6,Death to Bazuqueros
6,2 April Group
6,OAS-MRP
6,American Indian Movement
6,Environmentalists
6,Popular Liberation Resistance Force
6,Wild Individualities
6,Illuminating Paths of Solidarity
5,Drug-Related Terrorists
5,All India Sikh Students Federation (AISSF)
5,Al-Shuda Brigade
5,Islambouli Brigades of al-Qaida
5,Africa Marine Commando
5,Croatian Freedom Fighters
5,Iranian extremists
5,High Council for the Unity of Azawad (HCUA)
5,Kuki tribesmen
5,Kenya African National Union (KANU)
5,Mungiki Sect
5,Kani Brigade
5,Kirat Janabadi Workers Party
5,Fuerza Nueva
5,Spanish National Action
5,Misseriya Arab Tribesmen
5,Sudan Revolutionary Front (SRF)
5,Armenian Group
5,Abkhazian Separatists
5,Al-Adl Wal Ihsane
5,Shan State Army - South (SSA-S)
5,National Salvation Front (NAS)
5,Hutus Former Soldiers
5,National Congress for the Defense of the People (CNDP)
5,Popular Front for Justice in the Congo
5,Mai Mai Charles Militia
5,Kurdish Democratic Party-Iran (KDP)
5,Pro-Government extremists
5,Badr Brigades
5,Muslim Demonstrators
5,Long-time Muslim immigrants from Bangladesh
5,Islamic Front
5,Sanatan Sanstha
5,Jammu and Kashmir Islamic Front
5,Armed Communist Formations
5,Communist Territorial Nuclei
5,Samyukta Janatantrik Terai Mukti Morcha (SJTMM)
5,Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal
5,Sudanese People's Liberation Forces
5,Abbala extremists
5,Jund al-Aqsa
5,Farmers
5,Organization for Revolutionary Self Defense
5,Independent Peasants Union
5,Dagestani Shari'ah Jamaat
5,Lendu militia
5,Coca Farmers
5,Forces for the Defense of Democracy (FDD)
5,Montoneros Patria Libre
5,German Resistance Movement
5,Phalange
5,Shan United Revolutionary Army
5,Al-Ittihaad al-Islami (AIAI)
5,Cambodian Freedom Fighters (CFF)
5,Ambazonia Restoration Forces (ARF)
5,Ethiopian People's Revolutionary Party
5,People's Liberation Organization of Tamil Eelam
5,Miscreants
5,Baloch Waja Liberation Army (BWLA)
5,Revolutionary Armed Forces- Argentina (FAR-A)
5,United Nicaraguan Opposition
5,Tamil Makkal Viduthalai Pulikal (TMVP)
5,Mozambique Liberation Front (FRELIMO)
5,Hezb-e Wahdat-e Islami-yi Afghanistan
5,East Asia Division of the Islamic State
5,Azania People's Organization (AZAPO)
5,Pan Africanist Congress (PAC)
5,Kanak Socialist National Liberation Front
5,Fatah Hawks
5,Twigwaneho militia
5,Revolutionary Organization of Socialist Muslims
5,Rival caste
5,Zarate Willka Armed Forces of Liberation
5,Druzes
5,Mano Blanca
5,Punitive Leftist Front
5,Mahaz Fedai Tahrik Islami Afghanistan
5,Right Wing Vigilantes
5,International Committee Against Nazism
5,Americans for a Competent Federal Judicial System
5,Jamaat-al-Fuqra
5,Protestant Action Group
5,People's Revolutionary Command (CRP)
5,Patriotic Liberation Front
5,Ein Tyrol (One Tyrol)
5,CCCCC
5,Abu Obaida bin Jarrah Brigade
5,United Liberation Torchbearers Forces
5,Ansar al-Tawhid
5,Wrath of Olives
5,Popular Revolutionary Vanguard (VPR)
5,Meinhof-Puig-Antich Group
5,Communist Anti-Nuclear Front
5,Pro-Palestinian extremists
5,Gracchus Babeuf
5,Khristos Kasimis
5,November 21 Organization
5,Fighting Guerrilla Formation
5,Conscientious Arsonists (CA)
5,Zero Tolerance
5,Mujahedeen Shura Council in the Environs of Jerusalem
5,February 14th Movement
5,Hekla Reception Committee-Initiative for More Social Eruptions
5,Salafia Jihadia
5,All Burma Students' Democratic Front (ABSDF)
5,Khun Sa Guerrillas
5,Al-Yakin Mujahidin
5,Kharkiv Partisans
5,Che Guevara Guerrillas
5,Islamic Movement of Uzbekistan (IMU)
5,The Northern Alliance (or United Islamic Front for Salvation of Afghanistan - UIFSA)
5,Revolutionary Perspective
5,Revolutionary Force Seven
5,Red Guerilla Family
5,Fred Hampton Unit of the People's Forces
5,Puerto Rican Armed Resistance
5,Red Cell
5,Tanzim
5,Anti-State Justice
5,Kurdish Sympathizers
5,Puerto Rican Revolutionary Movement
5,Evan Mecham Eco-Terrorist International Conspiracy (EMETIC)
4,National Resistance Movement (NRM)
4,Yemenis
4,Serbian Nationalists
4,Mai Mai Malaika Militia
4,Military Command Council for the Salvation of the Republic (CCSMR)
4,Iraqi Revolutionary Forces
4,Revolutionary Front for Hatian Advancement and Progress (FRAPH)
4,Nawasi Brigade
4,Sudan Alliance Forces
4,Al-Shabaab al-Mu'minin
4,Crypteia
4,Arab Liberation Front (ALF)
4,Shan State Army - North (SSA-N)
4,Niger Delta extremists
4,Donskoy Army
4,Colombia Without Guerrillas
4,Anti-Communist Commando of the South
4,Huria Kristen Batak Protestan (HKBP)
4,Student Demonstrators
4,Activists
4,South Sudan United Front (SSUF)
4,Provisional Coordinating Committee for the Defense of Labor
4,Siriri
4,Ahrar Al-Jalil (Free People of the Galilee)
4,United Front for Democratic Change (FUC)
4,Urban Guerrillas
4,Eastern Turkistan Islamic Movement (ETIM)
4,Aristide supporters
4,Al-Arifeen
4,Al-Madina
4,United Kuki Liberation Front (UKLF) - India
4,Kuki Liberation Army (KLA)
4,Hill Tiger Force (HTF)
4,Achik National Cooperative Army (ANCA)
4,United Tribal Liberation Army (UTLA)
4,Naga extremists
4,Ansar Ghazwat-ul-Hind
4,Armed Proletarian Groups for Communism
4,Nandi Tribe
4,Merille Militia
4,Al-Qaqa Brigade
4,Ahneish Militia
4,Anas al-Dabbashi Brigade
4,Basque terrorists
4,Beja Congress
4,Popular Rage
4,Proletariat Self-defense Groups
4,Golden Dawn
4,Israeli Terrorist Group
4,Democratic Progressive Party (Malawi)
4,NVF
4,Makhachkala Gang
4,Ingush Rebels
4,Ugandan Rebels
4,Armenian militants
4,Armenian nationalists
4,Serbs
4,Georgian extremists
4,Arab Democratic Party
4,Fatah al-Islam
4,Mon Insurgents
4,Mon Guerrillas
4,Modakeke Ethnics
4,Bachama extremists
4,Irigwe Militia
4,Nyandan militia
4,Nationalist Patriotic Alliance (APN)
4,Cambodian People's Party (CPP)
4,Commandos for A Popular alternative
4,Punjabi Taliban
4,Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)
4,Zimbabwe Guerrillas
4,Mujahideen Islam Pattani
4,Movement for Democratic Change (MDC)
4,Somozists
4,Miskito Indian Organization
4,Anti-Communist Vigilante Group
4,Sinhalese Militants
4,Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh
4,Student Front of the People
4,People's Democratic Army
4,Democratic Revolutionary Front (FDR)
4,National Democratic Front-Bicol (NDF-Bicol)
4,Ansar Al-Khilafa (Philippines)
4,Kanak Separatists
4,Black Afro Militant Movement
4,New Jewish Defense League
4,"Covenant, Sword and the Arm of the Lord (CSA)"
4,Phineas Priesthood
4,Anti-Fascist Activists
4,South East Antrim Brigade
4,Union of Congolese Patriots (UPC)
4,Bunda Dia Kongo (BDK)
4,National Front for the Salvation of Libya
4,Spanish Armed Group
4,Eritrean Peoples Liberation Front
4,Al Bayda Province of the Islamic State
4,Revolutionary Solidarity
4,Sicarii
4,Committee of Coordination
4,Lebanese Socialist Revolutionary Organization
4,Gang
4,Dignity for Colombia
4,Otpor
4,Anti-Trump extremists
4,Column 88
4,Welsh Extremists
4,Direct Action Against Drugs (DADD)
4,Robin Food
4,September 11
4,Rajneeshees
4,Mukhtar Army
4,Milicias Rodriguistas
4,Al-Badr
4,Pattali Makkal Katchi (PMK)
4,National Liberation Force of Bengalis (Bangali Janamukti Bahini)
4,Jharkhand Prastuti Committee (JPC)
4,Armed Struggle for Communism
4,Armed Communist Nucleus
4,Armed Workers Squads
4,Anti-Imperialist International Brigades
4,Sudtiroler Volkspartei-south tyrol people's party
4,Tabu Tribe
4,Movement of the youth in Tripoli
4,14 K Triad
4,Mahan Madhesh Janakantri Party (MMJP)- Nepal
4,Hindu Morcha Nepal
4,Sympathizers of Al-Qaida Organization
4,Brazilian Anti-Communist Alliance (AAB)
4,Resistenza Corsa
4,Revolutionary Action of Liberation
4,Sheikh Omar Hadid Brigade
4,Dev Yol
4,People's Revolutionary Militias (MRP)
4,Forces of the Struggling Ranks
4,Al-Faruo Battalion
4,Coalition for Unity and Democracy (CUD)
4,Sandinist People's Army (EPS)
4,9 May People's Liberation Force
4,Afghans
4,The Association for Islamic Mobilisation and Propagation (UAMSHO)
4,Comite Argentino de Lucha Anti-Imperialisto
4,Extortionists
4,Tupamaro Revolutionary Movement
4,1st of May Group
4,New Year's Gang
4,National Integration Front (FIN)
4,Latin America Anti-Communist Army (LAACA)
4,Grupo Estrella
4,Anti-Environmentalists
4,Real Ulster Freedom Fighters (UFF) - Northern Ireland
4,Achik National Liberation Army (ANLA)
4,Tribesmen Murad Tribe
4,Armed Forces of National Liberation- Venezuela (FALN)
4,Cannibal Army
4,Armed Fight for Communism
4,New Order- France
4,Mayhem Squads
4,Mapuche Ancestral Resistance (RAM)
4,Popular Liberation Army (Puerto Rico)
3,Turkish radicals
3,Harakat ul-Mujahidin (HuM)
3,Black Brigade
3,Concerned Militant Leaders (CML)
3,Kazakhstan Liberation Army
3,Croatians
3,Union of Forces for Democracy and Development (UFDD)
3,National Alliance (Chad)
3,Black Wednesday
3,Autonomy-Seeking Arabs
3,Al-Jehad
3,Kuki National Army (KNA)
3,Shiv Sena
3,Organized Proletarian Communists
3,Right-Wing Militants
3,Islamic Party of Kenya (IPK)
3,Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML)
3,Incite the Believers
3,Algerian Moslem Fundamentalists
3,Red Sea Afar Democratic Organization (RSADO)
3,White Legion (Georgia)
3,Muslim Youth
3,Ambazonia Tigers
3,Pro-Kabul Provocateurs
3,Timorese Students
3,Former Interior Ministry Officers
3,Mabanese Defence Forces
3,Revolutionary Movement for National Salvation (REMNASA)
3,Black extremists
3,Anti-Castro Group
3,Settlers at Kfar Darom
3,Mujahedeen Army
3,Togolese Dissidents
3,Egypt's Revolution
3,Al-Furqan Brigades
3,Revolution's Brigade
3,Savane Pistache gang
3,Congress Party Activists
3,Karbi National Volunteers (KNV)
3,All India Anna Dravida Munetra Kazgan Party
3,Adivasi People's Army (APA)
3,United Achik Liberation Army (UALA)
3,Al-Nasireen Group
3,Kuki National Liberation Front (KNLF)
3,National Socialist Council of Nagaland-Reformation (NSCN-R)
3,Armed Communist Struggle
3,Armed Squads for Communism
3,Armed Nuclei for Territorial Counterpower
3,Fire Group
3,Seikijuku
3,United Somali Congress
3,Shura Council of Ajdabiya Revolutionaries
3,National People's Movement Coordination Committee
3,Madhesi People's Rights Forum (MPRF)
3,Air and Azawak Liberation Front
3,Saharan Revolutionary Armed Front (FARS)
3,National Revolution
3,South Sudan Liberation Army (SSLA)
3,Government Supporters
3,Front for the Liberation of the French Somali Coast
3,Charles Martel Group
3,October-80
3,Sect of Revolutionaries (Greece)
3,Likud Political Party
3,Fuerzas Armadas Revolucionarias del Pueblo (FARP)
3,Special Purpose Islamic Regiment (SPIR)
3,Skinheads
3,Armenian extremists
3,"Liberation Army for Presevo, Medvedja and Bujanovac (UCPMB)"
3,Global Intifada
3,Left-Wing Workers
3,Kurdish guerrillas
3,Karamojong Warriors
3,Waltraud Boock Group
3,Revolutionary Workers Party of Bolivia (PRTB)
3,Shuar extremists
3,Georgian Militants
3,Algeisk Wolves
3,Asbat al-Ansar
3,Bilal Badr Group
3,Shan Insurgents
3,Karenni National Progressive Party
3,Rohingya Solidarity Organization
3,Movement for the Actualization of the Sovereign State of Biafra (MASSOB)
3,Niger Delta Vigilante (NDV)
3,Habr Gedir Clan
3,Somali Islamic Front
3,Red Guard
3,Medellin Drug Cartel
3,Afar Revolutionary Democratic Unity Front
3,Baloch Young Tigers (BYT)
3,Baba Ladla Gang
3,Baloch Raji Ajoi Sangar (BRAS)
3,Communist Party of Thailand
3,Besi Merah Putih Militia
3,Anti-Independence extremists
3,Popular Anti-Communist Militias
3,Andres Castro United Front
3,Hizb al-Tahrir al-Islami (HT)
3,Jamiat-e Islami-yi Afghanistan
3,National Anti Communist Commando
3,Association of Demobilized Armed Forces
3,Kilafah Islamic Movement
3,Black Berets
3,Jewish Committee of Concern
3,Anti-Israeli extremists
3,Male supremacists
3,Catholic Reaction Force
3,Socialist Patients' Collective (SPK)
3,Hezbollah Palestine
3,The Revolt
3,Islamic Mujahidin
3,Kashmiri Hezbollah
3,Save Kashmir Movement
3,Maoist Communist Party of Manipur
3,Red Flying Squad
3,Red Brigades Fighting Communist Union (BR-UCC)
3,Maskini Liberation Front
3,Lahij Province of the Islamic State
3,Delta Group
3,Corsican Revolutionary Brigade
3,Libyan
3,Revolutionary Worker Clandestine Union of the People Party (PROCUP)
3,Idealist Association
3,Turkish Communist Workers Party
3,Freital Group
3,Odua Peoples' Congress (OPC)
3,Death to Rustlers
3,Sindhi nationalists
3,Freedom Party
3,Al-Haramayn Brigades
3,Vietnamese Organization to Exterminate Communists and Restore the Nation
3,Tontons Macoutes
3,Animal Rights Militia
3,Black Liberation Front
3,Dravidar Viduthalai Kazhagam (DVK)
3,Islamic Youth Shura Council
3,Egyptians
3,United Action Council
3,Anti-Gun Control extremists
3,"Raul Ernesto Cruz Leon, Salvadorian"
3,Anti-Revolutionary Agents
3,Al-Ahwaz Arab People's Democratic Front
3,Suqour al-Ahvaz
3,Baathist extremists
3,Iraq's Jihadist Leagues
3,14th of December Command
3,September 11 Commandos
3,Autonomous Manuel Rodriguez Patriotic Front
3,Army of Islam
3,Farighan
3,Pro-Pakistani extremists
3,Muslim Janbaz Force
3,United Bengali Liberation Front (UBLF)
3,Mahaz-e-Inquilab
3,Soldiers of the Algerian Opposition
3,Anti-Zionist Commandos
3,"Worker Autonomy, Continuous Struggle"
3,Organized Comrades for Feminist Counter-Power
3,German Speaking Separatists
3,People's Liberation Movement
3,Communist Group of Proletarian Internationalism
3,Brigades of Imprisoned Sheikh Omar Abdel-Rahman
3,Army of the Tribes
3,Free Libya Martyrs Brigade
3,Janatantrik Terai Mukti Morcha- Bisphot Singh (JTMM-B)
3,Guerilla Party of the Galician Poor
3,Resistencia Galega
3,Al-Nasir Army (Syria)
3,Afrin Falcons
3,Abida Tribe
3,Hadramawt Tribes Alliance
3,Communist Hunters Command (CCC)
3,Patria Nueva (New Country)
3,Nationalist Intervention Group
3,Turks
3,Commandos of France
3,Armata Corsa
3,National Liberation Front of Provence (FLNP)
3,Greek National Socialist Organization
3,Autonomous Resistance
3,Yellow Organization of Air Force Officers
3,7 April Libyan Organization
3,Arab Revolutionary Cells
3,Anti-State Action
3,Popular Will (Greece)
3,Revolutionary Liberation Action (Epanastatiki Apelevtherotiki Drasi) - Greece
3,Angry Brigade
3,Overall Deniers of Joining the Existing
3,Fedayeen
3,Ansar Al Sunnah (Palestine)
3,Anti-Castro Command
3,Panama Defense Force
3,December 13 Independent Group
3,Nordic Resistance Movement
3,RYF
3,Save Uganda Movement
3,Saraya Waad Allah
3,Nestor Paz Zamora Commission (CNPZ)
3,Ejercito de Liberacion Nacional (Bolivia)
3,National Liberation Army (Ecuador)
3,Anti-Imperialist Cell (AIZ)
3,Bavarian Liberation Army
3,Patriotic Europeans against the Islamization of the West (PEGIDA)
3,Pro-Iraqi Terrorists
3,Al-Sadr Brigades
3,Islamic Unification Movement
3,National Revolutionary Command (Umar al-Mukhtar)
3,313 Brigade (Syria)
3,Mustafa al-Hujairi Group
3,Niger Delta People's Volunteer Force (NDPVF)
3,Niger Delta Liberation Force (NDLF)-Nigeria
3,Latin American Anti-Fascist Command
3,Colombian Patriotic Resistance
3,Amr Bil Maroof Wa Nahi Anil Munkir
3,Revolutionary Internationalist Solidarity
3,Mariano Moreno National Liberation Commando
3,Northern Diriangen Front (FND)
3,Nicaraguan Patriotic Alliance (APN)
3,National Front Against Tigers (NFAT)
3,Jadid Al-Qaida Bangladesh (JAQB)
3,Revolutionary Commandos of Solidarity
3,Revolutionary Armed Organization
3,Islamic Jihad Group (IJG)
3,Afghan Rebels
3,Revolutionary Anti-Racist Action
3,Boere Aanvals Troepe (BAT)
3,Revolutionary Force 9
3,American Servicemen's Union (ASU)
3,Revolutionary Action Party
3,Puerto Rican Resistance Movement
3,Black Revolutionary Assault Team
3,Front for the National Liberation of Puerto Rico
3,Armed Forces of Popular Resistance (FARP)
3,The Order II (Bruder Schweigen Strike Force II)
3,Army for Freeing Scotland
3,23 May Democratic Alliance (Algeria)
3,Wampis extremists
3,Ikhwan-ul-Muslimeen
3,National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK)
3,Pathalgadi Movement
3,Bab Tajura Brigade
3,Revolutionary Student Front
3,Forbid the Evil Group (Muslim Extremists)
3,Christ Chaos
3,Iberian Anarchist Federation
3,Suicide Squad
3,Arsonists for Social Cohesion
3,Attack Teams for the Dissolution of the Nation (Greece)
3,Aceh Singkil Islamic Care Youth Students Association (PPI)
3,Northern Terror Front
3,South African Liberation Support Cadre (SALSC)
3,Save Our Israel Land
3,Earth First!
3,Black Hebrew Israelites
3,Revolutionary Cells Network (SRN)
3,Internationalist Cells
3,Territorial Resistance Army
3,Hanafi Muslims
2,Al-Faran
2,Cyrenaica Self-Defense Force
2,Ethiopians
2,Yarmouk Martyrs Brigade
2,Guardsmen of Islam
2,Surinamese Amerindians
2,God's Army
2,Mercenaries
2,Black American Moslems
2,Syrians
2,Movement for Democracy and Justice in Chad (MDJT)
2,Zagros Eagles
2,Imam Hussein Brigade
2,Islamic Arab Front of Azawad (FIAA)
2,Revolutionary Vanguard
2,Akali Dal Party
2,Bahujan Samaj Party
2,Tribal Separatists
2,Naga National Council (NNC)
2,Sekihotai
2,Sumud Brigade
2,Khumbuwan Mukti Morcha
2,Unified Communist Party of Nepal (Maoist)
2,Democratic Front for Renewal (FDR)
2,Jaish al-Sunnah
2,Hurras al-Din
2,Afrin Liberation Forces (HRE)
2,Angola Rebels
2,Columbia PM
2,Turkish separatists (probably Kurds)
2,Squadrons of Terror (Katibat El Ahoual)
2,Imbonerakure militia
2,Kurdish Protestors
2,Autonomen
2,Youths of Ali Movement
2,Beirut Martyrs Forces Organization
2,Mong Thai Army (MTA)
2,Somali National Alliance
2,Kotoko Tribal Group
2,Free Fatherland
2,Black Flag (Bandera Negra)
2,Nicaraguan Counter Revolutionaries (group unk)
2,Malaysian Communist Party
2,Peaceful Resistance Group of Mataquescuintla
2,Armed Forces for Liberation of East Timor (FALINTIL)
2,Irianese Tribesmen
2,Timorese guerrillas
2,Lekagak Tenggamati
2,International Mercenary Brigade
2,Former Govt. Troops
2,Supporters of leftist Gana-Oikya Front
2,Gono Bahini (GB)
2,Anti-Communist extremists
2,Black December
2,Khorasan jihadi group
2,Salvadoran Guerrillas
2,Former Soldiers/Police
2,Federation of Students and Scholars of Cote d'Ivoire (FESCI)
2,U/I Liberian Gunmen
2,Farmer's Movement of the Philippines (KMP)
2,South Sudan Democratic Army
2,Nuer White Army
2,South Sudan National Movement for Change (SSNMC-Unvuas)
2,Sudanese Rebels
2,Supporters of Laurent Nkunda
2,Mai Mai Karakara Militia
2,Banyamulenge rebels
2,Coup plotters
2,Zaghawa extremists
2,National Democratic Party
2,Arab Liberation of Al-Ahvaz
2,Dan Na Ambassagou
2,National Liberation Army (Peru)
2,Anti-Socials
2,Red Dawn Front (Frente Amanecer Rojo)
2,New Patriotic Party (NPP)
2,Scooter Borne terrorists
2,Tribal guerrillas
2,Karbi Longri National Liberation Front (KLNLF)
2,Tehrik-e-Galba Islam
2,Islamic Movement of Kashmir
2,Zomi Revolutionary Army (ZRA)
2,Jharkhand Sangharsh Jan Mukti Morcha
2,Moran Tiger Force (MTF)
2,National Socialist Council of Nagaland-Unification (NSCN-U)
2,Communist Combat Unit
2,Fighters for Communism
2,Communist Fighting Nuclei
2,Revolutionary Action Front
2,Forum for the Restoration of Democracy-Kenya
2,Pokot extremists
2,Rafallah al-Sahati Brigade
2,Pragatishil Tarai Mukti Morcha
2,Right-wing Terrorists
2,Bedouin Movement (Sudan)
2,Islamic Jihad Organization (Yemen)
2,Anti-Christian extremists
2,Adan Abyan Islamic Army (AAIA)
2,Supporters of Ali Abdullah Saleh
2,Popular Movement for the Liberation of Cabinda
2,The Front for the Liberation of the Cabinda Enclave - Renewed (FLEC)
2,Pessach Group
2,Arsonists
2,International Revolutionary Front
2,United Liberation Movement for Democracy in Liberia (ULIMO)
2,Jordanian Islamic Resistance
2,Francisco Villa People's Front
2,Militant Peasants (NFI)
2,Chechen Lone Wolf Group
2,Kata'ib al-Khoul
2,Inkotanyi
2,Organized Crime
2,Peoples' United Revolutionary Movement (HBDH)
2,Rwenzururu Rebels
2,National Democratic Alliance (NDA)
2,Draa El Mizan Seriat
2,Black March
2,Black Lebanon
2,Anti-Kurdish Turks
2,National Front for the Revolution in Burundi (FRONABU-Tabara)
2,Abkhazian guerrillas
2,Saor Eire (Irish Republican Group)
2,Jamaica Labor Party
2,Right Wing Christian extremists
2,Al-Sa'iqa
2,Tripoli Martyrs Battalion
2,Syrian Mujahideen
2,Civil War Veterans
2,Burma Communist Party
2,Kachin Insurgents
2,Modakeke Ethnic Activists
2,Egbesu Youths of the Bayelsa
2,Tarok Militia
2,Biafra Zionist Movement (BZM)
2,Bassa Kwomu extremists
2,Jukun militia
2,U/I Somali Militiamen
2,Islamic Party (Somalia)
2,Shabelle Valley militia
2,Khmer Bandits
2,"National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)"
2,National Socialist Civic Workers Movement
2,Cleansing Squad
2,Peasant protesters
2,Black Eagles
2,Tepi Youth
2,Al-Ma'unah
2,Kalpar Tribesmen
2,Kaka-Tribesmen
2,Brelvi Muslims
2,Lashkar-e-Omar
2,Al-Intiqami al-Pakistani
2,Mutahida Majlis-e-Amal
2,Ansarul Islam (Pakistan)
2,Islami Jamiat-e-Talaba (IJT)
2,Jaish Usama
2,Jaish-e-Khorasan (JeK)
2,Tehrik-e-Taliban Islami (TTI)
2,Baloch Republican Party
2,National Liberation Union
2,White Mercenaries
2,Yakariya Bango Insurgent Group
2,Guatemalan Communist Party
2,Revolutionary Armed Forces (FAR)
2,Aitarak Militia
2,Islamic Defenders' Front (FPI)
2,Army of the Republic of Ilirida
2,Anti-Communist Patriotic Front
2,Nicaraguan  Revolutionary Armed Force
2,Yatama
2,Armed Forces for National Salvation - Army of the People (FASN-EP)
2,People's Alliance
2,People's Tamil Organization
2,Rastas
2,Bangladesh Road Transport Workers Federation
2,Arakan Liberation Party (ALP)
2,Albanian Separatists
2,Organizacion Democratica Nacionalista (ORDEN)
2,Revolutionary Voice of the People (VPR)
2,Universal Liberation Front
2,Moro Ghuraba
2,Jundul Khilafah (Philippines)
2,Islamic Movement for the Liberation of Raja
2,Kamajor Hunters
2,Armed Forces Revolutionary Council (AFRC)
2,United Democratic Front (UDF)
2,National Committee to Combat Fascism
2,Republic of New Afrika
2,Environmental Life Force
2,Universal Proutist Revolutionary Federation
2,Pro-LGBT Rights extremists
2,Arm na Poblachta' (Army of the Republic)
2,Serbian irregulars
2,Bosnian Serbs
2,Tony El Pelou Band
2,Kahane Chai
2,Umar al-Mukhtar Martyr Forces
2,Popular Army Vanguards- Battalions of Return
2,U/I Snipers
2,Nationalist Integrationist Front (FNI)
2,Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP)
2,Enyele Militia
2,Republican Forces of Burundi (FOREBU)
2,Supreme Command for Jihad and Liberation
2,Salafi Abu-Bakr al-Siddiq Army
2,Struggle Against Misery and Exploitation of Peasants
2,Al-Nasirin (India)
2,Armed Nuclei for Communism
2,Anti-Fascist Territorial Group
2,Al-Borkan Liberation Organization
2,Airport Protesters
2,Guerrillas of Christ the King
2,Basque guerrillas
2,Ahrar al-Sharqiya
2,Tehama Movement
2,January 22
2,Popular Resistance (Laiki Antistasi)
2,Rugovasit Group
2,Islamic Movement Organization
2,Turkish Islamic Jihad
2,Islamic Revenge Organization
2,Islam Liberation Front
2,Grupo de Combatientes Populares
2,Armed Revolutionary Left (IRA)
2,Revolutionary Action Organization of the Arab Resistance Front
2,Ukrainian Insurgent Army
2,People's Revolutionary Organization- Colombia (ORP)
2,Cali Narcotics Cartel
2,Popular Revolutionary Commandos
2,Somali Guerrillas
2,Right-Wing Gunmen
2,Revolutionary Eelam Organization (EROS)
2,United National Party
2,National Movement of Soldiers in Shirts
2,Serbian rebels
2,Ananda Marga
2,Partido Marxista-Leninista ng Pilipinas (PMLP)
2,Kanakas
2,National Committee Against Independence (CNCI)
2,Secret Army Organization
2,Secret Organization Zero
2,Vietnamese Refugees
2,Anti-Republican extremists
2,Libyan Students
2,Guardians of the Islamic Revolution
2,Professional Killers
2,Revolutionary Security Apparatus
2,Ngumino militia
2,Miners
2,Ikhwan Jammu and Kashmir
2,Armed Group for the Defence of the People
2,Union members
2,Minorities of Metropolitan Attacks
2,Pro-Palestinian Immigrants
2,Tanzeem al-Islami al-Furqan
2,Pro-choice extremists
2,Dark Harvest
2,Arya
2,SYS
2,Ansar al-Furqan
2,Martyr Abu Ja'far Group
2,Iraqi Islamic Vanguards for National Salvation (IIVNS)
2,Iraqi National Congress (INC)
2,1920 Revolution Brigades
2,Jaish al-Ta'ifa al-Mansura
2,Al-Qaida Kurdish Battalions (AQKB)
2,Mujahedeen Corps in Iraq
2,Shield of Islam Brigade
2,The Owners of the White Flags
2,Condor
2,Popular Militia (Chile)
2,Manuel Gonzales Patriotic Front
2,Complices Sediciosos/Fraccion por la Venganza
2,Egyptian Tawhid and Jihad
2,Allah's Tigers
2,Jharkhand Tribal Forces
2,Khalistan Zindabad (Long Live Khalistan)
2,Naga Students Federation
2,Tamil Liberation Army
2,Shahid Khalsa Force
2,United Jihad Council
2,Volunteers of Innocent People of Nagas (VIPN)
2,Telangana Separatists
2,Hindu Illaignar Sena
2,Democratic Youth Federation of India (DYFI)
2,All (Baksa District) B.F.D.N Sangodan
2,New Order
2,Communist Progress
2,New Partisans Movement
2,Proletarian Combatants for Communism
2,Workers' Organization for Communism
2,Popular Revolutionary Movement (Italy)
2,Communist Patrols for Counter Power
2,Tyrol Separatists
2,Communist Front for Counterpower
2,International Communist Group
2,Communists Fighting Imperialism and Armaments
2,Angry Brigade (Italy)
2,Anti-Zionist Movement
2,International Solidarity
2,Revolutionary Proletarian Initiative Nuclei (NIPR)
2,Anti-Imperialist Territorial Nuclei (NTA)
2,Proletarian Nuclei for Communism
2,Anti-Narita Extremists
2,Revolutionary Army
2,Mwakenya Dissident Movement
2,God's Oppressed Army
2,Libyan Militia
2,Tawheed Militia
2,Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P)
2,Terai Cobra
2,Dynamic Youth Forum
2,Terai Communist Party
2,28th of December Group
2,Abd al-Krim Commandos
2,Khomeini loyalists
2,Red Army for the Liberation of Catalonia
2,Jarrai
2,Mateo Morral Insurrectionist Commandos
2,Anti-Clerical Pro-Sex Toys Group
2,Tajamo Ansar al-Islam
2,Greater Damascus Operations Room
2,Jaish al-Mujahideen (Syria)
2,Free Alawite Movement
2,Hassan Mabkhut Group
2,Al-Toaiman Tribesmen
2,Congolese National Movement- Lumumba (MNCL)
2,The United Revolutionary Front of Bhutan
2,Commando Delta
2,Young Cuba
2,Solidarist Resistance Movement
2,Pacifist and Ecologist Committee
2,Movement of Islamic Action of Iraq
2,Katsuhisa Omori
2,Anti-Armenian Organization
2,M-5
